"","Name","TigerWoods","PrizeMoney","AveDrivingDistance","DrivingAccuracy","GIR","PuttingAverage","BirdieConversion","SandSaves","Scrambling","BounceBack","PuttsPerRound","lnPrize"
"116","Lucas Glover",0,83483,299.4,63.69,67.33,1.763,32.02,47.53,56.23,20.42,29.15,11.3323982972967
"175","Tag Ridings",0,15098,305.3,54.1,61.22,1.766,31.72,51.02,54.58,19.12,28.79,9.62231756369957
"129","Mike Weir",0,78489,281.2,64.1,66.47,1.752,30.73,53.79,58.67,21.79,29.06,11.2707137665632
"57","Eric Axley",0,43951,294.6,63.68,65.73,1.748,31.14,39.58,56.47,19.28,28.8,10.690830655983
"76","J.L. Lewis",0,25804,279.6,64.2,62.67,1.802,26.37,47.62,58.75,20.79,29.23,10.1582847976521
"98","John Huston",0,15964,292,58.74,62.58,1.777,30.24,48.21,58.97,20.96,28.92,9.67809146616862
"190","Vance Veazey",0,10354,285.8,57.58,61.58,1.752,30.02,48.24,51.96,17.24,28.93,9.24512819746185
"85","Jeff Overton",0,20612,299.1,58.28,65.29,1.793,28.41,51.54,59.21,21.07,29.18,9.93362870944812
"138","Paul Azinger",0,23403,285.8,62.65,62.39,1.769,28,52.35,63.16,15.52,28.38,10.0606194982564
"89","Jesper Parnevik",0,54513,290.5,61.37,64.42,1.745,30.9,47.95,60.59,22.54,28.58,10.9061944843172
"155","Ryan Moore",0,51005,292.2,66.96,63.25,1.773,30.27,52.25,59.77,20.32,28.69,10.8396789461166
"168","Steve Elkington",0,15012,285.8,73.91,69.61,1.817,24.96,57.14,64.52,15.97,29.88,9.61660516025491
"128","Mike Sposa",0,5285,284.8,65.71,63.16,1.823,26.93,56.04,59.63,20.1,29.37,8.57262789830434
"184","Todd Hamilton",0,6117,283.6,56.32,56.87,1.792,27.38,42.15,51.34,14.29,29.01,8.71882705924257
"187","Tommy Armour III",0,14098,282.4,66.74,63.76,1.752,29.97,42.86,53.77,19.9,29.08,9.55378822233382
"59","Frank Lickliter II",0,57092,286.1,66.62,67.98,1.763,29.87,45.59,61,22.5,29.04,10.9524192807497
"111","Kirk Triplett",0,42589,281,72.76,65.28,1.757,29.05,45.35,56,18.56,28.79,10.6593512829515
"37","Chris DiMarco",0,59151,279.3,64.34,66.45,1.772,29.22,51.22,59.02,22.17,29.22,10.9878487754344
"6","Arron Oberholser",0,107294,285,62.53,69.27,1.775,29.2,47.2,57.67,20,29.56,11.5833280090684
"186","Tom Pernice, Jr.",0,72623,283.9,65.28,64.53,1.756,31.7,51.72,58.58,22.22,28.88,11.1930369550487
"183","Todd Fischer",0,11309,274.6,64.83,62.23,1.744,29.27,40,56.76,21.55,28.59,9.33335414787133
"132","Nick Watney",0,42890,300.6,61.78,65.38,1.788,31.72,43.51,61.15,21.64,29.08,10.6663939775109
"13","Billy Mayfair",0,47172,282.3,70.14,66.55,1.796,26.65,48.61,60.42,13.15,29.36,10.7615557752099
"32","Chad Campbell",0,112443,290.9,59.77,67.43,1.795,28.02,58.45,57.84,19.43,29.51,11.630201705561
"40","Corey Pavin",0,56873,265.9,67.66,63.57,1.815,23.43,58.33,66.45,12.29,28.91,10.9485759907998
"34","Charles Warren",0,37735,300.1,64.09,67.96,1.797,27.51,45.13,58.96,16.26,29.41,10.538343324719
"72","Ian Leggatt",0,13031,291.9,61.1,63.23,1.793,27.93,47.86,54.47,19.43,29.28,9.47508641314491
"60","Fred Couples",0,45904,301.5,54.36,65.33,1.816,27.01,40.59,55.13,15.76,30.02,10.7343075382211
"10","Bernhard Langer",0,23396,285.8,62.41,65.66,1.778,28.94,48.45,59.1,22,29.17,10.0603203465629
"196","Zach Johnson",0,90824,283.7,69.63,66.86,1.774,26.94,47.29,57.52,18.91,29.32,11.4166788468444
"23","Brian Bateman",0,24814,296.7,59.78,64.53,1.808,25.53,47.42,57.83,19.29,29.29,10.1191632890028
"166","Stephen Ames",0,114055,289.8,62.98,66.49,1.752,30.41,45.54,59.09,20.96,29.05,11.6444360671724
"173","Stewart Cink",0,105997,292,59.72,64.9,1.756,30.99,57.34,60.61,18.49,28.75,11.5711660708069
"19","Brandt Jobe",0,28658,297.2,61.12,67.23,1.79,28.02,46.88,54.91,19.62,29.59,10.2631879152765
"176","Ted Purdy",0,36861,287.8,65.86,67.05,1.796,28.62,41.55,54.09,23.3,29.66,10.5149093605357
"73","Ian Poulter",0,103594,287.9,70.19,66.03,1.772,28.8,50.68,60.38,25.38,29.06,11.5482346920725
"115","Len Mattiace",0,3025,290.6,56.71,58.85,1.773,29.21,47.37,55.38,17.39,28.75,8.01466637046494
"21","Brett Quigley",0,79316,289.6,58.85,67.83,1.779,29.04,53.57,61.84,20.08,29.19,11.2811951527187
"38","Chris Riley",0,18345,284.5,70.55,62.47,1.755,30.03,61.9,60.65,15.57,28.61,9.81711233678938
"35","Charley Hoffman",0,38455,304.4,58.01,66.61,1.753,31.94,45.91,55.86,21.11,28.94,10.5572440054912
"106","Justin Rose",0,58189,291.4,64,67.89,1.759,31.72,52.31,58.29,21.31,29,10.9714516124197
"74","J.B. Holmes",0,57216,318.8,54.13,65.3,1.802,31.56,49.26,51.98,20.08,29.75,10.9545888585332
"104","Jose Maria Olazabal",0,117801,287.2,59.68,65.52,1.77,28.89,54.43,57.78,19.25,29.1,11.6767520391279
"94","Joey Sindelar",0,27673,284.2,65.58,68.64,1.799,27.09,39.69,53.54,17.65,30,10.2282124875761
"92","Joe Durant",0,100398,289.1,78.43,69.75,1.785,28.67,41.5,56,16.91,29.81,11.5168975657226
"7","Bart Bryant",0,50620,282.2,72.76,68.67,1.812,24.95,41.84,55.46,20.85,30.06,10.8321020340991
"87","Jerry Kelly",0,56058,278.1,70.26,67.11,1.781,28.46,54.05,60.98,19.47,29.17,10.934142148021
"121","Mark O'Meara",0,11315,274.4,57.35,59.44,1.778,27.66,51.11,58.9,16.46,28.7,9.33388455806764
"29","Camilo Villegas",0,60073,302.1,58.06,65.29,1.78,30.55,45.21,56.45,22.46,29.29,11.0033157683318
"113","Larry Mize",0,12110,278.3,74.33,64.16,1.803,23.17,43.75,60.49,16.79,29.18,9.40178683654714
"20","Brent Geiberger",0,19683,286.9,67.04,64.95,1.778,28.04,47.74,60.46,19.62,28.96,9.88751059801299
"135","Padraig Harrington",0,89312,294.7,66.14,65.22,1.758,31.18,52.86,60.38,23.26,29.04,11.399891136336
"191","Vaughn Taylor",0,68613,286.6,63.31,64.08,1.725,34.26,57.35,55.36,25.93,28.67,11.1362373001335
"131","Nicholas Thompson",0,8272,295.6,67.44,65.35,1.829,27.17,44.67,53.79,17.52,30.12,9.02063159674821
"154","Ryan Hietala",0,3816,305.9,51.03,60.08,1.809,26.96,40.66,53.07,15.81,29.36,8.24695803256818
"181","Tim Petrovic",0,20064,281,63.54,61.29,1.799,27.35,56.25,60.57,14.08,29.01,9.90668244343265
"165","Skip Kendall",0,19997,281.2,72.08,67.21,1.77,27.24,49.52,58.82,18.46,29.15,9.903337541285
"2","Adam Scott",0,262045,301.1,62,69.12,1.767,30.39,53.61,57.94,19.35,29.28,12.4762715237201
"188","Trevor Immelman",0,160175,294.9,62.08,69.06,1.771,30.06,55.05,60.54,19.91,29.26,11.9840222465072
"117","Luke Donald",0,176523,283.7,66.86,66.05,1.752,30.19,63.64,65.35,22.22,28.54,12.0812064584804
"50","David McKenzie",0,15187,284.4,67.41,65.83,1.777,28.69,50.91,57.11,18.1,29.19,9.62819507773027
"63","Geoff Ogilvy",0,217748,295.3,61.89,62.94,1.769,31.44,56.67,58.89,22.17,28.93,12.2910937098276
"160","Sean O'Hair",0,47046,292.7,63.7,64.74,1.8,29.74,51.9,55.79,22.4,29.56,10.758881125459
"177","Thomas Levet",0,9062,286.9,64.01,65.9,1.851,23.71,47.52,58.47,14.84,30.1,9.11184512522708
"157","Ryuji Imada",0,32843,284.9,58.62,64.81,1.764,28.04,54.94,60.68,22.34,28.87,10.3994939114038
"108","Kenny Perry",0,37214,293.1,68.45,68.75,1.813,26.46,48.84,54.57,17.67,30.19,10.5244403135476
"102","Jonathan Byrd",0,70421,298.1,64.15,69.61,1.75,33.09,48.6,60.94,22.64,29.06,11.1622467931194
"122","Mark Wilson",0,18513,282,67.23,67.98,1.758,29.85,55.81,58.45,19.5,29.28,9.82622846698918
"64","Greg Chalmers",0,5402,286.4,53.9,59.04,1.764,29.06,56.91,56.28,19.64,28.63,8.59452453435256
"78","James Driscoll",0,7583,296.4,50.54,61.32,1.817,28.83,48.59,54.58,17.25,29.39,8.93366417870094
"178","Tiger Woods",1,662771,306.4,60.71,74.15,1.756,35.26,55.17,62.81,24.77,29.38,13.4041848098054
"51","David Toms",0,132327,285.4,69.18,66.18,1.759,31.43,59.43,59.29,25.54,29.01,11.7930314109139
"39","Chris Smith",0,8734,299.2,66.02,69.32,1.806,27.01,36.36,52.7,19.71,30.18,9.07497873404551
"141","Peter Lonard",0,38046,280.6,64.19,63.16,1.824,25.35,57.14,58.13,19.33,29.51,10.5465512329281
"26","Briny Baird",0,33782,285.1,71.39,70.2,1.777,28.87,44.55,56.42,24.12,29.64,10.4276833952403
"9","Ben Curtis",0,86782,278.8,66.61,65.25,1.798,26.36,45,56.88,14.46,29.5,11.3711545058717
"43","D.J. Trahan",0,31371,291.5,64.04,64.01,1.78,29.03,49.34,56.26,15.3,29.26,10.3536391782667
"136","Pat Perez",0,37869,298.4,59.31,64.67,1.771,30.05,47.19,54.4,20,29.04,10.541888114421
"86","Jeff Sluman",0,43173,279.8,64.81,65.24,1.763,29.54,56.02,58.86,14.84,29.05,10.6729705788383
"49","David Howell",0,65174,289.1,62.38,63.21,1.73,32.88,50,53.69,19.21,28.89,11.0848158953775
"158","Scott Gutschewski",0,19973,303.3,64.98,66.67,1.77,29.06,41.77,51.63,16.46,29.53,9.90213664046517
